questionUid,qKey,sourceJsPath,id,standardUnitKey,mappedUnitKey,matchedTerms,includedByForwardScan,status
h1:original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js_16,original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js_16,original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js,16,H15-SB-05,,평면좌표,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_효천고_2학기_기말_고1_기출.js,22,H15-SB-04,,평면좌표,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js_6,original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js_6,original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js,6,H15-SB-05,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js_19,original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js_19,original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js,19,H15-SB-05,,원의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js_20,original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js_20,original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js,20,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js_24,original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js_24,original/high/h1/2final/23_강남여고_2학기_기말_고1_기출.js,24,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_7,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_7,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js,7,H15-SB-04,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_9,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_9,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js,9,H15-SB-08,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_11,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_11,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js,11,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_16,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_16,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js,16,H15-SB-03,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_20,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js_20,original/high/h1/2final/23_금당고_2학기_기말_고1_기출.js,20,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_3,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_3,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js,3,H15-SB-03,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_6,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_6,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js,6,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_7,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_7,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js,7,H15-SB-04,,평면좌표,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_8,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_8,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js,8,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_16,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_16,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js,16,H15-SB-05,,평면좌표|직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_20,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_20,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js,20,H15-SB-03,,원의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_22,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js_22,original/high/h1/2final/23_매산여고_2학기_기말_고1_기출.js,22,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js_6,original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js_6,original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js,6,H15-SB-05,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js_24,original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js_24,original/high/h1/2final/24_강남여고_2학기_기말_고1_기출.js,24,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js_11,original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js_11,original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js,11,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js_17,original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js_17,original/high/h1/2final/24_금당고_2학기_기말_고1_기출.js,17,H15-SB-03,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_3,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_3,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js,3,H15-SB-04,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_5,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_5,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js,5,H15-SB-04,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_7,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_7,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js,7,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_15,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_15,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js,15,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_23,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js_23,original/high/h1/2final/24_매산여고_2학기_기말_고1_기출.js,23,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_11,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_11,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,11,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_12,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_12,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,12,H15-SB-05,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_15,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_15,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,15,H15-SB-05,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_16,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_16,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,16,H15-SB-04,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_17,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js_17,original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,17,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_15,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_15,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,15,H22-C2-07,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_18,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_18,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,18,H22-C2-03,H22-C2-03,평면좌표|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_22,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js_22,original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,22,H22-C2-09,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_18,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js_18,original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,18,H22-C2-08,,평면좌표,false,REVIEW_REQUIRED
h1:original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_2,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_2,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,2,H22-C2-04,H22-C2-04,직선의 방정식|도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_3,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_3,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,3,H22-C2-03,H22-C2-03,원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_6,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_6,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,6,H22-C2-04,H22-C2-04,도형의 이동,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_7,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_7,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,7,H22-C2-03,H22-C2-03,직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_9,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js_9,original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,9,H22-C2-02,H22-C2-02,직선의 방정식,true,INCLUDED_CONFIRMATION
